"","GeneID","Function","GeneName","Func_Categ"
"3330","Vcard_DToL08674","XPC-binding domain","RAD23B","UBA,XPC-binding,ubiquitin"
"3335","Vcard_DToL08670","WSTF, HB1, Itc1p, MBD9 motif 1","BPTF","Bromodomain,DDT,PHD,WHIM1,WSD"
"3338","Vcard_DToL08675","pKID domain","CREB1","bZIP_1,pKID"
"3360","Vcard_DToL08715","Mpv17 / PMP22 family","-","Mpv17_PMP22"
"3363","Vcard_DToL08719","PIG-P","-","PIG-P"
"3375","Vcard_DToL08724","Large family of predicted nucleotide-binding domains","SMG6","EST1,EST1_DNA_bind,PIN_4"
"3380","Vcard_DToL08732","Protein tyrosine kinase","PLK4","POLO_box,Pkinase"
"3400","Vcard_DToL08758","-","-","RVT_1"
"3402","Vcard_DToL08756","Regulator of G protein signalling domain","AKAP10","RGS"
"3411","Vcard_DToL08772","Tetratricopeptide repeat","TTC37","TPR_16,TPR_2,TPR_8"
"3506","Vcard_DToL08891","Shwachman-Bodian-Diamond syndrome (SBDS) protein","SBDS","SBDS,SBDS_C"
"3528","Vcard_DToL08914","-","-","-"
"3623","Vcard_DToL09044","TRAF-type zinc finger","TRAF4","MATH,zf-C3HC4,zf-C3HC4_2,zf-TRAF"
"3681","Vcard_DToL17465","DNA-binding transcription factor activity","-","-"
"3727","Vcard_DToL17523","hematopoietic progenitor cell differentiation","WDR7","WD40"
"3777","Vcard_DToL17589","zinc ion binding. It is involved in the biological process described with steroid hormone mediated signaling pathway","RORB","Hormone_recep,zf-C4"
"3891","Vcard_DToL17724","-","-","-"
"3936","Vcard_DToL16802","Voltage gated chloride channel","CLCN2","Voltage_CLC"
"3940","Vcard_DToL16809","WD domain, G-beta repeat","GNB4","WD40"
"3998","Vcard_DToL16877","-","-","-"
"4037","Vcard_DToL16927","-","-","-"
"4065","Vcard_DToL16971","It is involved in the biological process described with Wnt signaling pathway","TCF7L2","CTNNB1_binding,HMG_box"
"4161","Vcard_DToL07046","Belongs to the importin alpha family","KPNA6","Arm,Arm_3,IBB"
"4200","Vcard_DToL07103","Myosin VI cargo binding domain","MYO6","IQ,Myosin-VI_CBD,Myosin_N,Myosin_head"
"4251","Vcard_DToL07165","BAR","BIN1","BAR,SH3_9"
"4308","Vcard_DToL07249","It is involved in the biological process described with cell redox homeostasis","-","HyaE,Thioredoxin,Thioredoxin_6"
"4312","Vcard_DToL07250","ELMO/CED-12 family","ELMOD1","ELMO_CED12"
"4339","Vcard_DToL07283","Leucine-rich repeat","ANP32A","LRR_4,LRR_9"
"4349","Vcard_DToL07294","MIZ/SP-RING zinc finger","ZMIZ1","zf-MIZ"
"4369","Vcard_DToL07322","-","spn-F","-"
"4384","Vcard_DToL07332","Hint (Hedgehog/Intein) domain N-terminal region","SHH","HH_signal,Hint"
"4475","Vcard_DToL07454","BRISC and BRCA1-A complex member 1-like","BABAM1","-"
"4518","Vcard_DToL07505","Domain of unknown function (DUF4528)","C15orf61","DUF4528"
"4524","Vcard_DToL07510","Tube Death domain","IRAK4","Death_2,Pkinase,Pkinase_Tyr"
"4621","Vcard_DToL07635","WD40 repeats","DYNC1I2","Dynein_IC2,WD40"
"4706","Vcard_DToL11915","Ankyrin repeat","-","Ank,Ank_2,Ank_3,Ank_4,Ank_5,Pkinase_Tyr"
"4770","Vcard_DToL11998","ATP- binding","-","ABC2_membrane,ABC_tran"
"4806","Vcard_DToL12048","Histone deacetylase domain","HDAC2","Hist_deacetyl"
"4834","Vcard_DToL12085","helicase superfamily c-terminal domain","-","DEAD,Helicase_C"
"4902","Vcard_DToL12168","WWE domain","RNF146","WWE,zf-C3HC4_3"
"4907","Vcard_DToL12177","SGT1 protein","ECD","SGT1"
"4909","Vcard_DToL12180","Uncharacterised conserved protein","USB1","HVSL"
"4913","Vcard_DToL12176","WSC domain","XYLT2","Branch,WSC,Xylo_C"
"4940","Vcard_DToL12208","-","-","-"
"4977","Vcard_DToL12264","Sulfotransferase family","-","Sulfotransfer_2"
"5002","Vcard_DToL12296","Anaphase-promoting complex, cyclosome, subunit 3","CDC27","ANAPC3,TPR_1,TPR_16,TPR_6,TPR_8"
"5018","Vcard_DToL12317","FAM195 family","FAM195A","FAM195"
"5024","Vcard_DToL12321","FIP domain","RAB11FIP4","RBD-FIP"
"5063","Vcard_DToL12363","C-5 cytosine-specific DNA methylase","TRDMT1","DNA_methylase"
"5084","Vcard_DToL12388","Cation transporting ATPase, C-terminus","ATP2C1","Cation_ATPase,Cation_ATPase_C,Cation_ATPase_N,E1-E2_ATPase,Hydrolase"
"5160","Vcard_DToL12488","Aminotransferase class I and II","GPT2","Aminotran_1_2"
"5180","Vcard_DToL10271","K homology RNA-binding domain","FXR1","Agenet,FXMRP1_C_core,FXMR_C2,FXR_C1,FXR_C3,KH_1"
"5199","Vcard_DToL10287","Rab subfamily of small GTPases","RAB11A","Ras"
"5296","Vcard_DToL10415","Peptidyl-tRNA hydrolase PTH2","PTRHD1","PTH2"
"5316","Vcard_DToL10438","RNA binding","C6orf203","-"
"5317","Vcard_DToL10441","Fibronectin type 3 domain","ROBO1","I-set,Ig_3,fn3"
"5322","Vcard_DToL10448","K homology RNA-binding domain","QKI","KH_1,Quaking_NLS,STAR_dimer"
"5344","Vcard_DToL10474","Golgi to endosome transport","TGOLN2","-"
"5365","Vcard_DToL10510","A Receptor for Ubiquitination Targets","-","F-box-like"
"5391","Vcard_DToL10531","Lysine methyltransferase","VCPKMT","Methyltransf_16"
"5431","Vcard_DToL10578","Rho (Ras homology) subfamily of Ras-like small GTPases","-","Ras"
"5456","Vcard_DToL10610","Conserved region of Rad21 / Rec8 like protein","RAD21","Rad21_Rec8,Rad21_Rec8_N"
"5462","Vcard_DToL10620","Malic enzyme, N-terminal domain","ME1","Malic_M,malic"
"5470","Vcard_DToL10633","-","-","-"
"5518","Vcard_DToL10733","F-box only protein","FBXO9","F-box-like"
"5600","Vcard_DToL10849","Anaphase-promoting complex subunit 4 WD40 domain","SMU1","WD40"
"5608","Vcard_DToL10847","ATP11 protein","ATPAF1","ATP11"
"5688","Vcard_DToL12599","Mitogen-activated protein kinase kinase 1 interacting","LAMTOR3","MAPKK1_Int"
"5689","Vcard_DToL12596","Chloride intracellular channel","exc-4","-"
"5736","Vcard_DToL12644","UbiA prenyltransferase family","UBIAD1","UbiA"
"5768","Vcard_DToL12691","Zn_pept","-","Peptidase_M14,Propep_M14"
"5786","Vcard_DToL12711","Protein tyrosine kinase","MAP3K7","Pkinase,Pkinase_Tyr"
"5855","Vcard_DToL12801","Ulp1 protease family, C-terminal catalytic domain","SENP8","Peptidase_C48"
"5954","Vcard_DToL12930","-","-","-"
"6073","Vcard_DToL13069","Macoilin family","TMEM57","Macoilin"
"6086","Vcard_DToL13081","Belongs to the MYST (SAS MOZ) family","KAT6B","Linker_histone,MOZ_SAS,PHD"
"6288","Vcard_DToL00212","repeat-containing protein","PQLC3","PQ-loop"
"6339","Vcard_DToL00284","Sugar (and other) transporter","-","Sugar_tr"
"6344","Vcard_DToL00292","Ras association (RalGDS/AF-6) domain","RAPH1","PH,RA"
"6346","Vcard_DToL00293","Peptidase family M13","Nep2","Peptidase_M13,Peptidase_M13_N"
"6589","Vcard_DToL00604","MBOAT, membrane-bound O-acyltransferase family","LPCAT3","MBOAT"
"6648","Vcard_DToL00680","Fibronectin type 3 domain","-","I-set,Pkinase"
"6672","Vcard_DToL00703","Rho (Ras homology) subfamily of Ras-like small GTPases","CDC42","Ras"
"6770","Vcard_DToL09790","Major Facilitator Superfamily","-","MFS_1,MFS_4"
"6777","Vcard_DToL09799","Ras family","Ras1","Ras"
"6807","Vcard_DToL09834","KR domain","-","adh_short"
"6868","Vcard_DToL09910","WD40 repeats","DMXL1","Rav1p_C,WD40"
"6869","Vcard_DToL09912","COMM domain","-","COMM_domain"
"6895","Vcard_DToL09943","Src homology 2 domains","CSK","Pkinase_Tyr,SH2,SH3_1"
"6901","Vcard_DToL09949","Prolyl 4-hydroxylase alpha subunit homologues.","OGFOD3","2OG-FeII_Oxy_3"
"6938","Vcard_DToL09998","Domain always found downstream of DENN domain, found in a variety of signalling proteins","DENND4B","DENN,PPR_3,dDENN,uDENN"
"7006","Vcard_DToL10083","GTPase activator activity. It is involved in the biological process described with regulation of small GTPase mediated signal transduction","RALGAPB","-"
"7080","Vcard_DToL10215","PIN domain","SMG5","EST1,EST1_DNA_bind,PIN_4"
"7098","Vcard_DToL10245","domain present in translation initiation factor eIF2B and eIF5","EIF2S2","eIF-5_eIF-2B"
"7108","Vcard_DToL18567","regulation of branching involved in salivary gland morphogenesis","-","BTB"
"7129","Vcard_DToL18601","bromo domain","BRD8","Bromodomain"
"7239","Vcard_DToL18760","Proposed core component of the chromatin remodeling Ino80 complex which is involved in transcriptional regulation, DNA replication and probably DNA repair","RUVBL2","TIP49"
"7285","Vcard_DToL18819","Rhodanese Homology Domain","MOCS3","Rhodanese,ThiF"
"7629","Vcard_DToL15543","Mono-functional DNA-alkylating methyl methanesulfonate N-term","CPSF1","CPSF_A,MMS1_N"
"7752","Vcard_DToL15683","Caspase domain","MALT1","Ig_2,Ig_3,Peptidase_C14"
"7957","Vcard_DToL03362","Oxidoreductase activity, acting on the CH-CH group of donors. It is involved in the biological process described with lipid metabolic process","SRD5A3","Steroid_dh"
"8087","Vcard_DToL03536","Protein kinase binding. It is involved in the biological process described with regulation of cyclin-dependent protein serine threonine kinase activity","CCND3","Cyclin_C,Cyclin_N"
"8121","Vcard_DToL03576","-","-","-"
"8137","Vcard_DToL03604","Ssu72-like protein","SSU72","Ssu72"
"8168","Vcard_DToL03640","Protein of unknown function (DUF1115)","RWDD2B","DUF1115,RWD"
"8170","Vcard_DToL03644","Belongs to the ALG6 ALG8 glucosyltransferase family","ALG8","Alg6_Alg8"
"8213","Vcard_DToL03688","Peptidase family C78","UFSP2","Peptidase_C78"
"8236","Vcard_DToL03720","ATP binding. It is involved in the biological process described with","BTK","BTK,PH,Pkinase_Tyr,SH2,SH3_1"
"8248","Vcard_DToL03735","Domain of unknown function (DUF4211)","QSER1","DUF4211"
"8270","Vcard_DToL03765","3'-5' exonuclease","EXD1","DNA_pol_A_exo1"
"8306","Vcard_DToL03810","Calreticulin family","CANX","Calreticulin"
"8327","Vcard_DToL03832","-","-","-"
"8454","Vcard_DToL13842","Putative GTP-ase activating proteins for the small GTPase, ARF","ARFGAP2","ArfGap"
"8477","Vcard_DToL13872","protein polyufmylation","-","-"
"8479","Vcard_DToL13871","-","-","PRE_C2HC,PXA"
"8594","Vcard_DToL14042","Serine/Threonine protein kinases, catalytic domain","HIPK1","Pkinase"
"8677","Vcard_DToL14155","Ubiquitin-2 like Rad60 SUMO-like","UBL3","Rad60-SLD_2"
"8693","Vcard_DToL14172","Component of the endosomal sorting complex required for transport II (ESCRT-II), which is required for multivesicular body (MVB) formation and sorting of endosomal cargo proteins into MVBs","SNF8","EAP30"
"8758","Vcard_DToL14264","OB-fold nucleic acid binding domain","-","tRNA-synt_2,tRNA_anti-codon"
"8851","Vcard_DToL18353","Presenilin enhancer-2 subunit of gamma secretase","PSENEN","PEN-2"
"8855","Vcard_DToL18354","Catalyzes the reduction of fatty acyl-CoA to fatty alcohols","-","NAD_binding_4,Sterile"
"8871","Vcard_DToL18376","It is involved in the biological process described with","CSTF3","Suf"
"8887","Vcard_DToL18405","Catalyzes the reduction of fatty acyl-CoA to fatty alcohols","-","NAD_binding_4,Sterile"
"8920","Vcard_DToL18445","Catalyzes the reduction of fatty acyl-CoA to fatty alcohols","-","NAD_binding_4,Sterile"
"9068","Vcard_DToL00886","Enoyl-(Acyl carrier protein) reductase","-","adh_short"
"9084","Vcard_DToL00905","Methyltransferase domain","RRNAD1","Methyltransf_32"
"9108","Vcard_DToL00940","TNF(Tumour Necrosis Factor) family","-","TNF"
"9208","Vcard_DToL01068","ubiquitin-like protein ligase activity","UBE3C","HECT,IQ"
"9225","Vcard_DToL01084","Golgi casein kinase, C-terminal, Fam20","FAM20B","Fam20C"
"9262","Vcard_DToL01147","Mid domain of argonaute","AGO1","ArgoL1,ArgoL2,ArgoMid,ArgoN,PAZ,Piwi"
"9266","Vcard_DToL01148","Tumour protein D52 family","TPD52L2","TPD52"
"9333","Vcard_DToL01226","Type I phosphodiesterase / nucleotide pyrophosphatase","PIGN","Phosphodiest,PigN"
"9345","Vcard_DToL01246","Ring finger domain","-","zf-C3HC4,zf-C3HC4_2,zf-C3HC4_3,zf-RING_UBOX"
"9374","Vcard_DToL01284","Cytoplasmic tRNA 2-thiolation protein 2","-","CTU2"
"9381","Vcard_DToL01287","PAS domain","ARNT","HLH,PAS,PAS_11,PAS_3"
"9456","Vcard_DToL01379","Src homology 3 domains","-","SH3_1"
"9565","Vcard_DToL01522","PH domain","PLEKHJ1","PH"
"9622","Vcard_DToL01587","attachment of GPI anchor to protein","PIGU","PIG-U"
"9626","Vcard_DToL01596","Gamma interferon inducible lysosomal thiol reductase (GILT)","IFI30","GILT,SapA"
"9715","Vcard_DToL01704","Serine/Threonine protein kinases, catalytic domain","-","Mst1_SARAH,Pkinase"
"9720","Vcard_DToL01721","-","-","-"
"9736","Vcard_DToL09075","Smoothelin cytoskeleton protein","SMTN","CH,Smoothelin"
"9743","Vcard_DToL09081","Ras of Complex, Roc, domain of DAPkinase","-","Ras"
"9750","Vcard_DToL09092","Rabaptin-like protein","RABEP1","FYVE,Rab5-bind,Rabaptin"
"9773","Vcard_DToL09118","Amyloid protein-binding protein","APPBP2","TPR_10,TPR_12"
"9910","Vcard_DToL09291","WD domain, G-beta repeat","PAFAH1B1","LisH,WD40"
"9937","Vcard_DToL09315","Cytochrome P450","CYP315A1","p450"
"9959","Vcard_DToL09347","Rft protein","RFT1","Rft-1"
"9989","Vcard_DToL09382","Modified RING finger domain","UBE4A","U-box,Ufd2P_core"
"9997","Vcard_DToL09395","Stage II sporulation protein E (SpoIIE)","PPTC7","SpoIIE"
"10079","Vcard_DToL09494","Dor1-like family","COG8","Dor1"
"10095","Vcard_DToL09518","tRNA synthetase class II core domain (G, H, P, S and T)","SARS2","Seryl_tRNA_N,tRNA-synt_2b"
"10328","Vcard_DToL05542","Dock homology region 2","DOCK6","DHR-2,DOCK-C2,DUF3398"
"10371","Vcard_DToL05603","TFIIB zinc-binding","TfIIB","TFIIB,TF_Zn_Ribbon"
"10468","Vcard_DToL05711","Cyclin","CCNY","Cyclin,Cyclin_N"
"10483","Vcard_DToL05734","AMP-binding enzyme C-terminal domain","SLC27A4","AMP-binding,AMP-binding_C"
"10505","Vcard_DToL05756","Acid phosphatase homologues","DOLPP1","PAP2"
"10514","Vcard_DToL05763","Double-stranded DNA binding. It is involved in the biological process described with regulation of transcription, DNA-templated","-","mTERF"
"10523","Vcard_DToL05777","FAD dependent oxidoreductase","FOXRED1","DAO"
"10551","Vcard_DToL05817","Kinesin-associated protein (KAP)","KIFAP3","KAP"
"10555","Vcard_DToL05813","mTERF","MTERFD1","mTERF"
"10569","Vcard_DToL05830","GDP-fucose protein O-fucosyltransferase","O-fut1","O-FucT"
"10580","Vcard_DToL05844","Ubiquitin-conjugating enzyme E2, catalytic domain homologues","AKTIP","UQ_con"
"10633","Vcard_DToL05913","Bicoid-interacting protein 3 (Bin3)","BCDIN3D","Bin3"
"10689","Vcard_DToL05978","Conserved oligomeric complex COG6","COG6","COG6"
"10713","Vcard_DToL06013","GDSL-like Lipase/Acylhydrolase family","PAFAH1B2","Lipase_GDSL_2"
"10747","Vcard_DToL06045","-","-","-"
"10774","Vcard_DToL06077","Heat shock factor binding protein 1","HSBP1","HSBP1"
"10775","Vcard_DToL06079","Putative GTPase activating protein for Arf","AGFG1","ArfGap"
"10802","Vcard_DToL06121","protein, isoform A","mxt","KH_1"
"10855","Vcard_DToL06187","Endomembrane protein 70","TM9SF2","EMP70"
"10864","Vcard_DToL06198","SRI (Set2 Rpb1 interacting) domain","SETD2","SET,SRI,WW"
"10924","Vcard_DToL06275","Calcineurin-like phosphoesterase","-","Metallophos"
"11017","Vcard_DToL13194","positive regulation of lamellipodium assembly","BRK1","-"
"11069","Vcard_DToL13266","Ankyrin repeat","FEM1B","Ank,Ank_2,Ank_3,Ank_4"
"11167","Vcard_DToL13394","A Receptor for Ubiquitination Targets","morgue","F-box,F-box-like,UQ_con"
"11195","Vcard_DToL13439","Kazal type serine protease inhibitors","FST","FOLN,Kazal_2"
"11197","Vcard_DToL13442","Dystroglycan (Dystrophin-associated glycoprotein 1)","DAG1","DAG1"
"11205","Vcard_DToL13449","Tumour-associated protein","TMEM259","Membralin"
"11260","Vcard_DToL13512","Spastic paraplegia 21 (Autosomal recessive, Mast syndrome)","SPG21","Abhydrolase_1"
"11417","Vcard_DToL13711","Det1 complexing ubiquitin ligase","DDA1","DDA1"
"11440","Vcard_DToL13731","insulin-like growth factor binding","-","LRR_8"
"11498","Vcard_DToL13805","Foie gras liver health family 1","TRAPPC11","Foie-gras_1,Gryzun,Gryzun-like"
"11518","Vcard_DToL14303","pinin/SDK/memA/ protein conserved region","PNN","Pinin_SDK_N,Pinin_SDK_memA"
"11572","Vcard_DToL14370","Domain of unknown function (DUF3441)","NEMF","DUF3441,DUF814,FbpA"
"11599","Vcard_DToL14403","TatD related DNase","-","TatD_DNase"
"11648","Vcard_DToL14454","-","H","-"
"11650","Vcard_DToL14459","WD domain, G-beta repeat","DCAF10","WD40"
"11699","Vcard_DToL14534","subunit of the gamma-secretase complex, an endoprotease complex that catalyzes the intramembrane cleavage of integral membrane proteins such as Notch receptors","PSEN1","Presenilin"
"11752","Vcard_DToL14591","erythroblast transformation specific domain","ETS1","Ets,SAM_PNT"
"11773","Vcard_DToL14624","G-protein coupled receptor activity. It is involved in the biological process described with G-protein coupled receptor signaling pathway","GPRMTH5","7tm_2"
"11846","Vcard_DToL14695","TFIIA is a component of the transcription machinery of RNA polymerase II and plays an important role in transcriptional activation","GTF2A2","TFIIA_gamma_C,TFIIA_gamma_N"
"11847","Vcard_DToL14700","CDP-alcohol phosphatidyltransferase","CRLS1","CDP-OH_P_transf"
"11901","Vcard_DToL14775","Pellino","PELI1","Pellino"
"11955","Vcard_DToL14841","Thyroglobulin type I repeats.","-","Antistasin,Kunitz_BPTI,Lustrin_cystein,Thyroglobulin_1,WAP"
"11965","Vcard_DToL14851","COG (conserved oligomeric Golgi) complex component, COG2","COG2","COG2,DUF3510"
"11985","Vcard_DToL14879","PACS-1 cytosolic sorting protein","PACS1","Pacs-1"
"11991","Vcard_DToL14884","RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)","TIAL1","RRM_1"
"12096","Vcard_DToL06417","SART-1 family","SART1","SART-1"
"12110","Vcard_DToL06432","Protein of unknown function (DUF1011)","SLC52A3","DUF1011"
"12147","Vcard_DToL06484","Complex1_LYR-like","LYRM5","Complex1_LYR"
"12185","Vcard_DToL06528","-","-","-"
"12200","Vcard_DToL06549","It is involved in the biological process described with retrograde transport, endosome to Golgi","VPS54","Vps54,Vps54_N"
"12202","Vcard_DToL06541","Mib_herc2","HECTD1","Ank_2,Ank_5,HECT,MIB_HERC2,Sad1_UNC"
"12206","Vcard_DToL06550","Glycosyl transferase family 4","DPAGT1","Glycos_transf_4"
"12233","Vcard_DToL06587","DnaJ molecular chaperone homology domain","DNAJC21","DnaJ,zf-C2H2_2,zf-C2H2_jaz"
"12237","Vcard_DToL06590","helix loop helix domain","TFAP4","HLH"
"12247","Vcard_DToL06600","helicase superfamily c-terminal domain","DDX6","DEAD,Helicase_C"
"12283","Vcard_DToL06635","NOPS (NUC059) domain","PSPC1","NOPS,RRM_1"
"12326","Vcard_DToL06690","Lipopolysaccharide kinase (Kdo/WaaP) family","CAMK1","Pkinase"
"12351","Vcard_DToL06720","Alpha amylase, catalytic domain","-","Alpha-amylase"
"12362","Vcard_DToL06733","Lipase","-","Lipase"
"12418","Vcard_DToL06802","Ubiquitin-conjugating enzyme E2, catalytic domain homologues","eff","UQ_con"
"12458","Vcard_DToL06844","CCDC85 family","CCDC85C","CCDC85"
"12477","Vcard_DToL06873","Nucleotide-sugar transporter","-","Nuc_sug_transp"
"12480","Vcard_DToL06876","GMC oxidoreductase","-","GMC_oxred_C,GMC_oxred_N"
"12485","Vcard_DToL06883","Belongs to the DHHC palmitoyltransferase family","ZDHHC23","DHHC"
"12486","Vcard_DToL06885","post-GPI attachment to proteins factor","PGAP2","Frag1"
"12514","Vcard_DToL06920","Transcription factor TFIID (or TATA-binding protein, TBP)","-","TBP"
"12522","Vcard_DToL06926","WASH complex subunit 7","KIAA1033","WASH-7_C,WASH-7_N,WASH-7_mid"
"12529","Vcard_DToL06937","Ribonuclease T2 family","RNaseX25","Ribonuclease_T2"
"12544","Vcard_DToL06954","FG-GAP repeat","ITGA9","FG-GAP,Integrin_alpha2"
"12598","Vcard_DToL07023","Subunit CCDC53 of WASH complex","-","CCDC53"
"12638","Vcard_DToL17125","Regulator of volume decrease after cellular swelling","CLNS1A","Voldacs"
