"GeneID" "Function" "GeneName" "Func_Categ"
"4416" "Vcard_DToL07378" "FORKHEAD" "FOXO6" "FOXO-TAD,FOXO_KIX_bdg,Forkhead"
"4417" "Vcard_DToL07379" "Transactivation domain of FOXO protein family" "FOXO3" "FOXO-TAD,FOXO_KIX_bdg,Forkhead"
"4446" "Vcard_DToL07411" "Sequence-specific DNA binding transcription factor activity. It is involved in the biological process described with regulation of transcription, DNA-templated" "NFKB1" "Ank,Ank_2,Ank_3,Ank_4,Death,RHD_DNA_bind,RHD_dimer"
"4524" "Vcard_DToL07510" "Tube Death domain" "IRAK4" "Death_2,Pkinase,Pkinase_Tyr"
"4696" "Vcard_DToL11907" "helix loop helix domain" "MYC" "HLH,Myc-LZ,Myc_N"
"4835" "Vcard_DToL12073" "bZIP transcription factor" "ATF4" "bZIP_1"
"4836" "Vcard_DToL12075" "bZIP transcription factor" "ATF4" "bZIP_1"
"4842" "Vcard_DToL12088" "PH domain" "PDPK1" "PH_3,Pkinase"
"4905" "Vcard_DToL12170" "Ubiquitin-like autophagy protein Apg12" "GABARAPL1" "Atg8"
"5211" "Vcard_DToL10302" "Ras subfamily of RAS small GTPases" "RAP1A" "Ras"
"5431" "Vcard_DToL10578" "Rho (Ras homology) subfamily of Ras-like small GTPases" "-" "Ras"
"5724" "Vcard_DToL12639" "Domain of unknown function" "MTOR" "DUF3385,FAT,FATC,FRB_dom,PI3_PI4_kinase"
"5731" "Vcard_DToL12641" "Domain of unknown function" "MTOR" "DUF3385,FAT,FATC,FRB_dom,PI3_PI4_kinase"
"5854" "Vcard_DToL12800" "Electron carrier protein. The oxidized form of the cytochrome c heme group can accept an electron from the heme group of the cytochrome c1 subunit of cytochrome reductase. Cytochrome c then transfers this electron to the cytochrome oxidase complex, the final protein carrier in the mitochondrial electron-transport chain" "CYCS" "Cytochrom_C"
"6097" "Vcard_DToL13094" "Lipopolysaccharide kinase (Kdo/WaaP) family" "MAPK10" "Pkinase"
"6145" "Vcard_DToL00028" "Phospholipase C, catalytic domain (part); domain X" "PLCG2" "C2,PI-PLC-X,PI-PLC-Y,SH2,SH3_1"
"6146" "Vcard_DToL00029" "Activin types I and II receptor domain" "ACVR1C" "Activin_recp,Pkinase,Pkinase_Tyr,TGF_beta_GS"
"6151" "Vcard_DToL00037" "Furin-like cysteine rich region" "ERBB2" "Furin-like,GF_recep_IV,Pkinase_Tyr,Recep_L_domain"
"6478" "Vcard_DToL00465" "non-membrane spanning protein tyrosine kinase activity. It is involved in the biological process described with protein phosphorylation" "ABL1" "F_actin_bind,Pkinase_Tyr,SH2,SH3_1"
"6492" "Vcard_DToL00480" "PH domain" "GAB1" "PH"
"6638" "Vcard_DToL00664" "Protein tyrosine phosphatase, catalytic domain" "PTPN11" "SH2,Y_phosphatase"
"6639" "Vcard_DToL00665" "abortive mitotic cell cycle" "csw" "SH2,Y_phosphatase"
"6670" "Vcard_DToL00706" "Fibrinogen-related domains (FReDs)" "ANGPT4" "Fibrinogen_C"
"6672" "Vcard_DToL00703" "Rho (Ras homology) subfamily of Ras-like small GTPases" "CDC42" "Ras"
"6729" "Vcard_DToL00785" "synaptic vesicle uncoating" "-" "BAR,RasGEF,RasGEF_N,SH3_1,SH3_2,SH3_9"
"6762" "Vcard_DToL09782" "Phosphoinositide 3-kinase C2" "PIK3C3" "PI3K_C2,PI3Ka,PI3_PI4_kinase"
"6776" "Vcard_DToL09798" "Ras family" "Ras1" "Ras"
"6777" "Vcard_DToL09799" "Ras family" "Ras1" "Ras"
"6895" "Vcard_DToL09943" "Src homology 2 domains" "CSK" "Pkinase_Tyr,SH2,SH3_1"
"6949" "Vcard_DToL10011" "It is involved in the biological process described with protein phosphorylation" "MAP2K1" "Pkinase"
"7136" "Vcard_DToL18606" "EF-hand domain pair" "-" "EF-hand_7,EF-hand_8"
"7184" "Vcard_DToL18672" "cell adhesion" "-" "AIG1,I-set,Ig_3,fn3"
"7529" "Vcard_DToL11711" "cell adhesion" "-" "AIG1,I-set,Ig_3,fn3"
"7898" "Vcard_DToL15866" "Ribosomal protein L7Ae/L30e/S12e/Gadd45 family" "-" "Ribosomal_L7Ae"
"7989" "Vcard_DToL03410" "Creb binding" "CREBBP" "Bromodomain,Creb_binding,DUF902,HAT_KAT11,KIX,ZZ,zf-TAZ"
"7990" "Vcard_DToL03411" "Creb binding" "-" "Bromodomain,Creb_binding,DUF902,HAT_KAT11,KIX,ZZ,zf-TAZ"
"8002" "Vcard_DToL03422" "It is involved in the biological process described with" "TRAF6" "zf-C3HC4_2,zf-TRAF"
"8087" "Vcard_DToL03536" "Protein kinase binding. It is involved in the biological process described with regulation of cyclin-dependent protein serine threonine kinase activity" "CCND3" "Cyclin_C,Cyclin_N"
"8191" "Vcard_DToL03661" "domain present in cyclins, TFIIB and Retinoblastoma" "CCND3" "Cyclin_C,Cyclin_N"
"8313" "Vcard_DToL03818" "Protein tyrosine phosphatase, catalytic domain" "PTPN11" "SH2,Y_phosphatase"
"8441" "Vcard_DToL03977" "EF-hand, calcium binding motif" "-" "-"
"8472" "Vcard_DToL13856" "TNF receptor-associated factor" "TRAF6" "-"
"8799" "Vcard_DToL18280" "Guanine nucleotide exchange factor for Ras-like GTPases; N-terminal motif" "SOS1" "Histone,PH,RasGEF,RasGEF_N,RhoGEF"
"8800" "Vcard_DToL18281" "Guanine nucleotide exchange factor for Ras-like GTPases; N-terminal motif" "SOS1" "Histone,PH,RasGEF,RasGEF_N,RhoGEF"
"8943" "Vcard_DToL18477" "Lipopolysaccharide kinase (Kdo/WaaP) family" "MAPKAPK3" "Pkinase"
"9155" "Vcard_DToL01005" "Protein tyrosine kinase" "MAPK14" "Pkinase"
"9487" "Vcard_DToL01426" "Phosphotyrosine interaction domain (PTB/PID)" "SHC3" "PID,SH2"
"9488" "Vcard_DToL01427" "Phosphotyrosine interaction domain (PTB/PID)" "SHC3" "PID,SH2"
"9554" "Vcard_DToL01505" "14-3-3 homologues" "14-3-3zeta" "14-3-3"
"9743" "Vcard_DToL09081" "Ras of Complex, Roc, domain of DAPkinase" "-" "Ras"
"9829" "Vcard_DToL09187" "EF-hand domain" "-" "EF-hand_1,EF-hand_7"
"9830" "Vcard_DToL09186" "EF-hand domain" "-" "EF-hand_1,EF-hand_7"
"10000" "Vcard_DToL09403" "EF-hand domain" "-" "EF-hand_1,EF-hand_5,EF-hand_6,EF-hand_7"
"10001" "Vcard_DToL09404" "EF-hand domain" "-" "EF-hand_1,EF-hand_5,EF-hand_6,EF-hand_7"
"10274" "Vcard_DToL05466" "It is involved in the biological process described with positive regulation of autophagy" "ATG14" "Atg14"
"10599" "Vcard_DToL05872" "RhoGEF domain" "ARHGEF6" "CH,PH,RhoGEF,RhoGEF67_u1,RhoGEF67_u2,SH3_2,SH3_9,betaPIX_CC"
"10600" "Vcard_DToL05873" "RhoGEF domain" "ARHGEF6" "CH,PH,RhoGEF,RhoGEF67_u1,RhoGEF67_u2,SH3_2,SH3_9,betaPIX_CC"
"10816" "Vcard_DToL06141" "Ral guanine nucleotide dissociation" "RALGDS" "RA,RasGEF,RasGEF_N"
"10938" "Vcard_DToL06298" "Autophagocytosis associated protein (Atg3), N-terminal domain" "ATG3" "Autophagy_C,Autophagy_N,Autophagy_act_C"
"10973" "Vcard_DToL13140" "WD domain, G-beta repeat" "GNB5" "WD40"
"11127" "Vcard_DToL13342" "Ras of Complex, Roc, domain of DAPkinase" "RHOA" "Ras"
"11128" "Vcard_DToL13344" "Aldehyde dehydrogenase family" "ALDH3A2" "Aldedh"
"11305" "Vcard_DToL13572" "Protein tyrosine kinase" "JAK2" "Pkinase_Tyr,SH2"
"11306" "Vcard_DToL13574" "Protein tyrosine kinase" "JAK2" "Pkinase_Tyr,SH2"
"11466" "Vcard_DToL13765" "bZIP Maf transcription factor" "JUN" "Jun,bZIP_1"
"11506" "Vcard_DToL13813" "Protein tyrosine kinase" "IKBKE" "Pkinase"
"11698" "Vcard_DToL14532" "subunit of the gamma-secretase complex, an endoprotease complex that catalyzes the intramembrane cleavage of integral membrane proteins such as Notch receptors" "PSEN1" "Presenilin"
"11699" "Vcard_DToL14534" "subunit of the gamma-secretase complex, an endoprotease complex that catalyzes the intramembrane cleavage of integral membrane proteins such as Notch receptors" "PSEN1" "Presenilin"
"11914" "Vcard_DToL14790" "activity. It is involved in the biological process described with" "HIF1A" "HIF-1,HIF-1a_CTAD,PAS,PAS_11,PAS_3,PAS_9"
"11915" "Vcard_DToL14792" "activity. It is involved in the biological process described with" "HIF1A" "HIF-1,HIF-1a_CTAD,PAS,PAS_11,PAS_3,PAS_9"
"11916" "Vcard_DToL14793" "activity. It is involved in the biological process described with" "HIF1A" "HIF-1,HIF-1a_CTAD,PAS,PAS_11,PAS_3,PAS_9"
"11917" "Vcard_DToL14795" "DNA-binding transcription factor activity, RNA polymerase II-specific" "HIF1A" "HIF-1,HIF-1a_CTAD,PAS,PAS_11,PAS_3,PAS_9"
"11918" "Vcard_DToL14796" "DNA-binding transcription factor activity, RNA polymerase II-specific" "-" "-"
"11937" "Vcard_DToL14818" "Binds to single and double-stranded DNA and exhibits DNA-dependent ATPase activity. Underwinds duplex DNA" "RAD51" "HHH_5,Rad51"
"12091" "Vcard_DToL06409" "Ankyrin repeat" "NFKBIA" "Ank,Ank_2,Ank_3,Ank_4,Ank_5"
"12215" "Vcard_DToL06555" "Phosphotyrosine-binding domain (IRS1-like)" "FRS2" "IRS"
"12348" "Vcard_DToL06715" "Phosphatidylinositol 3-kinase regulatory subunit P85 inter-SH2 domain" "PIK3R3" "PI3K_P85_iSH2,RhoGAP,SH2"
"12431" "Vcard_DToL06817" "Domain of unknown function (DUF4071)" "MAP3K15" "DUF4071,Pkinase"
"12577" "Vcard_DToL07001" "Heat shock chaperonin-binding motif." "STIP1" "TPR_1,TPR_11,TPR_12,TPR_16,TPR_2,TPR_8"
"12654" "Vcard_DToL17146" "Protein tyrosine kinase" "RPS6KA5" "Pkinase,Pkinase_C"
"12675" "Vcard_DToL17176" "Autophagy protein Apg6" "BECN1" "APG6,BH3"
"12990" "Vcard_DToL15167" "Domain A in dwarfin family proteins" "SMAD4" "MH1,MH2"
"13028" "Vcard_DToL15217" "cell adhesion" "-" "AIG1,I-set,Ig_3,fn3"
"13125" "Vcard_DToL15326" "It is involved in the biological process described with signal transduction" "RALBP1" "RhoGAP"
"13432" "Vcard_DToL05001" "Domain of unknown function (DUF4440)" "CAMK2G" "CaMKII_AD,Pkinase"
"13476" "Vcard_DToL05050" "Death domain" "FADD" "DED,Death"
"13732" "Vcard_DToL05359" "Protein kinase C terminal domain" "PRKCD" "C1_1,Pkinase,Pkinase_C"
"13733" "Vcard_DToL05360" "Protein kinase C terminal domain" "PRKCD" "C1_1,Pkinase,Pkinase_C"
"13734" "Vcard_DToL05362" "Protein kinase C terminal domain" "PRKCD" "C1_1,Pkinase,Pkinase_C"
"13833" "Vcard_DToL01773" "Raf-like Ras-binding domain" "BRAF" "C1_1,Pkinase_Tyr,RBD"
"13881" "Vcard_DToL01843" "Kinase-like" "MAP2K7" "Pkinase"
"14108" "Vcard_DToL02132" "Guanyl-nucleotide exchange factor activity. It is involved in the biological process described with regulation of small GTPase mediated signal transduction" "RAPGEF1" "RasGEF,RasGEF_N"
"14109" "Vcard_DToL02133" "Guanine nucleotide exchange factor for Ras-like small GTPases" "RAPGEF1" "RasGEF,RasGEF_N"
"14266" "Vcard_DToL02327" "Rho (Ras homology) subfamily of Ras-like small GTPases" "RhoL" "Ras"
"14267" "Vcard_DToL02328" "small GTPase mediated signal transduction" "racC" "Ras"
"14427" "Vcard_DToL02544" "E2F/DP family winged-helix DNA-binding domain" "E2F2" "E2F_CC-MB,E2F_TDP"
